cty,county_name,cz,cz_name,statename,state_fips,stateabbrv,Region
1001,Autauga,11101,Montgomery,Alabama,1,AL,South
1003,Baldwin,11001,Mobile,Alabama,1,AL,South
1005,Barbour,10301,Eufaula,Alabama,1,AL,South
1007,Bibb,10801,Tuscaloosa,Alabama,1,AL,South
1009,Blount,10700,Birmingham,Alabama,1,AL,South
1011,Bullock,9800,Auburn,Alabama,1,AL,South
1013,Butler,11101,Montgomery,Alabama,1,AL,South
1015,Calhoun,9600,LaGrange,Alabama,1,AL,South
1017,Chambers,9600,LaGrange,Alabama,1,AL,South
1019,Cherokee,6600,Rome,Alabama,1,AL,South
1021,Chilton,10700,Birmingham,Alabama,1,AL,South
1023,Choctaw,10802,Demopolis,Alabama,1,AL,South
1025,Clarke,11001,Mobile,Alabama,1,AL,South
1027,Clay,9500,Talladega,Alabama,1,AL,South
1029,Cleburne,9600,LaGrange,Alabama,1,AL,South
1031,Coffee,10302,Dothan,Alabama,1,AL,South
1033,Colbert,6200,Florence,Alabama,1,AL,South
1035,Conecuh,11002,Atmore,Alabama,1,AL,South
1037,Coosa,9500,Talladega,Alabama,1,AL,South
1039,Covington,11102,Troy,Alabama,1,AL,South
1041,Crenshaw,11102,Troy,Alabama,1,AL,South
1043,Cullman,10700,Birmingham,Alabama,1,AL,South
1045,Dale,10302,Dothan,Alabama,1,AL,South
1047,Dallas,10801,Tuscaloosa,Alabama,1,AL,South
1049,DeKalb,6100,Gadsden,Alabama,1,AL,South
1051,Elmore,11101,Montgomery,Alabama,1,AL,South
1053,Escambia,11002,Atmore,Alabama,1,AL,South
1055,Etowah,6100,Gadsden,Alabama,1,AL,South
1057,Fayette,10600,Jasper,Alabama,1,AL,South
1059,Franklin,6200,Florence,Alabama,1,AL,South
1061,Geneva,10302,Dothan,Alabama,1,AL,South
1063,Greene,10802,Demopolis,Alabama,1,AL,South
1065,Hale,10801,Tuscaloosa,Alabama,1,AL,South
1067,Henry,10302,Dothan,Alabama,1,AL,South
1069,Houston,10302,Dothan,Alabama,1,AL,South
1071,Jackson,6100,Gadsden,Alabama,1,AL,South
1073,Jefferson,10700,Birmingham,Alabama,1,AL,South
1075,Lamar,10600,Jasper,Alabama,1,AL,South
1077,Lauderdale,6200,Florence,Alabama,1,AL,South
1079,Lawrence,6000,Huntsville,Alabama,1,AL,South
1081,Lee,9800,Auburn,Alabama,1,AL,South
1083,Limestone,6000,Huntsville,Alabama,1,AL,South
1085,Lowndes,11101,Montgomery,Alabama,1,AL,South
1087,Macon,9800,Auburn,Alabama,1,AL,South
1089,Madison,6000,Huntsville,Alabama,1,AL,South
1091,Marengo,10802,Demopolis,Alabama,1,AL,South
1093,Marion,10600,Jasper,Alabama,1,AL,South
1095,Marshall,6100,Gadsden,Alabama,1,AL,South
1097,Mobile,11001,Mobile,Alabama,1,AL,South
1099,Monroe,11002,Atmore,Alabama,1,AL,South
1101,Montgomery,11101,Montgomery,Alabama,1,AL,South
1103,Morgan,6000,Huntsville,Alabama,1,AL,South
1105,Perry,10801,Tuscaloosa,Alabama,1,AL,South
1107,Pickens,10501,Columbus,Alabama,1,AL,South
1109,Pike,11102,Troy,Alabama,1,AL,South
1111,Randolph,9600,LaGrange,Alabama,1,AL,South
1113,Russell,9701,Columbus,Alabama,1,AL,South
1115,St Clair,10700,Birmingham,Alabama,1,AL,South
1117,Shelby,10700,Birmingham,Alabama,1,AL,South
1119,Sumter,10802,Demopolis,Alabama,1,AL,South
1121,Talladega,9500,Talladega,Alabama,1,AL,South
1123,Tallapoosa,9500,Talladega,Alabama,1,AL,South
1125,Tuscaloosa,10801,Tuscaloosa,Alabama,1,AL,South
1127,Walker,10600,Jasper,Alabama,1,AL,South
1129,Washington,11001,Mobile,Alabama,1,AL,South
1131,Wilcox,11001,Mobile,Alabama,1,AL,South
1133,Winston,10600,Jasper,Alabama,1,AL,South
2013,Aleutians East,34101,Sand Point,Alaska,2,AK,West
2016,Aleutians West,34114,Unalaska,Alaska,2,AK,West
2020,Anchorage,34102,Anchorage,Alaska,2,AK,West
2050,Bethel,34112,Bethel,Alaska,2,AK,West
2060,Bristol Bay,34104,Bristol Bay,Alaska,2,AK,West
2070,Dillingham,34107,Dillingham,Alaska,2,AK,West
2090,Fairbanks North Star,34115,Fairbanks,Alaska,2,AK,West
2100,Haines,34109,Juneau,Alaska,2,AK,West
2110,Juneau,34109,Juneau,Alaska,2,AK,West
2122,Kenai Peninsula,34102,Anchorage,Alaska,2,AK,West
2130,Ketchikan Gateway,34111,Ketchikan,Alaska,2,AK,West
2150,Kodiak Island,34108,Kodiak,Alaska,2,AK,West
2164,Lake And Peninsula,34107,Dillingham,Alaska,2,AK,West
2170,Matanuska-Susitna,34102,Anchorage,Alaska,2,AK,West
2180,Nome,34106,Nome,Alaska,2,AK,West
2185,North Slope,34113,Barrow,Alaska,2,AK,West
2188,Northwest Arctic,34105,Kotzebue,Alaska,2,AK,West
2201,Prince Of Wales-Outer Ketchikan,34111,Ketchikan,Alaska,2,AK,West
