cty,top_industry,industry_naics_code,top_industry_employment
1001,Retail Trade,44,2239
1003,Retail Trade,44,8620
1005,Manufacturing,31,4854
1007,Manufacturing,31,710
1009,Manufacturing,31,2501
1011,Health care & social assistance,62,312
1013,Manufacturing,31,1165
1015,Manufacturing,31,9911
1017,Manufacturing,31,4653
1019,Manufacturing,31,1028
1021,Retail Trade,44,1723
1023,Retail Trade,44,420
1025,Manufacturing,31,1907
1027,Manufacturing,31,2509
1029,Manufacturing,31,1031
1031,Manufacturing,31,3011
1033,Manufacturing,31,4539
1035,Transportation & Warehousing,48,1063
1037,Manufacturing,31,803
1039,Manufacturing,31,2765
1041,Manufacturing,31,574
1043,Manufacturing,31,5933
1045,Transportation & Warehousing,48,1914
1047,Manufacturing,31,5633
1049,Manufacturing,31,12338
1051,Manufacturing,31,2220
1053,Manufacturing,31,2311
1055,Manufacturing,31,6397
1057,Manufacturing,31,2063
1059,Manufacturing,31,4634
1061,Health care & social assistance,62,835
1063,Manufacturing,31,461
1065,Manufacturing,31,1340
1067,Manufacturing,31,1641
1069,Health care & social assistance,62,7890
1071,Manufacturing,31,6686
1073,Health care & social assistance,62,50970
1075,Manufacturing,31,1921
1077,Manufacturing,31,6309
1079,Manufacturing,31,1866
1081,Manufacturing,31,6217
1083,Manufacturing,31,6772
1085,Manufacturing,31,1228
1087,Health care & social assistance,62,2102
1089,Manufacturing,31,23489
1091,Manufacturing,31,2240
1093,Manufacturing,31,4004
1095,Manufacturing,31,12348
1097,Health care & social assistance,62,21491
1099,Manufacturing,31,2429
1101,Retail Trade,44,15513
1103,Manufacturing,31,13816
1105,Manufacturing,31,542
1107,Health care & social assistance,62,681
1109,Manufacturing,31,1937
1111,Manufacturing,31,2202
1113,Manufacturing,31,2250
1115,Manufacturing,31,3239
1117,Retail Trade,44,7416
1119,Retail Trade,44,454
1121,Manufacturing,31,7052
1123,Manufacturing,31,3818
1125,Manufacturing,31,12158
1127,Retail Trade,44,3745
1129,Manufacturing,31,1683
1131,Retail Trade,44,304
1133,Manufacturing,31,4473
1999,Administrative & support & waste management & remediation serv,56,10708
2013,Retail Trade,44,55
2016,Manufacturing,31,2462
2020,Health care & social assistance,62,16359
2050,Health care & social assistance,62,1529
2060,Manufacturing,31,179
2068,Retail Trade,44,24
2070,Manufacturing,31,192
2090,Health care & social assistance,62,4657
2100,Retail Trade,44,109
2110,Health care & social assistance,62,1885
2122,Retail Trade,44,2250
2130,Retail Trade,44,1166
2150,Manufacturing,31,1475
2164,Utilities,22,19
2170,Retail Trade,44,2497
2180,Health care & social assistance,62,551
2185,Accommodation & foodservices,72,387
2188,Retail Trade,44,331
2201,Retail Trade,44,211
2220,Health care & social assistance,62,848
2232,Retail Trade,44,126
2240,Retail Trade,44,129
2261,Retail Trade,44,419
2270,Retail Trade,44,308
2280,Retail Trade,44,436
2282,Retail Trade,44,27
2290,Retail Trade,44,140
2290,Other services (except public administration),81,140
2999,Mining,21,1684
4001,Accommodation & foodservices,72,1654
4003,Retail Trade,44,5228
4005,Accommodation & foodservices,72,9628
4007,Retail Trade,44,2129
4009,Retail Trade,44,1309
4011,"Agriculture, forestry, fishing, & hunting",11,0
4011,Mining,21,0
4011,Utilities,22,0
4011,Construction,23,0
4011,Manufacturing,31,0
4011,Wholesale trade,42,0
4011,Retail Trade,44,0
4011,Transportation & Warehousing,48,0
4011,Information,51,0
4011,Finance & insurance,52,0
4011,Real estate & rental & leasing,53,0
4011,"Professional, scientific, & technical services",54,0
4011,Management of companies & enterprises,55,0
4011,Administrative & support & waste management & remediation serv,56,0
4011,Educational services,61,0
4011,Health care & social assistance,62,0
4011,"Arts, entertainment, & recreation",71,0
4011,Accommodation & foodservices,72,0
4011,Other services (except public administration),81,0
4012,Accommodation & foodservices,72,1081
4013,Retail Trade,44,170471
4015,Retail Trade,44,7929
4017,Retail Trade,44,4210
4019,Retail Trade,44,43012
4021,Retail Trade,44,4862
4023,Retail Trade,44,2451
4025,Retail Trade,44,8126
4027,Retail Trade,44,7076
4999,Administrative & support & waste management & remediation serv,56,8635
5001,Manufacturing,31,3448
5003,Manufacturing,31,3435
5005,Manufacturing,31,2907
5007,Manufacturing,31,12975
5009,Manufacturing,31,2588
5011,Health care & social assistance,62,783
5013,Manufacturing,31,304
5015,Manufacturing,31,3607
5017,Manufacturing,31,934
5019,Manufacturing,31,3061
5021,Manufacturing,31,2401
5023,Manufacturing,31,1721
5025,"Agriculture, forestry, fishing, & hunting",11,156
5027,Manufacturing,31,3102
5029,Manufacturing,31,972
5031,Manufacturing,31,8020
5033,Manufacturing,31,4071
5035,Transportation & Warehousing,48,3191
5037,Manufacturing,31,1255
5039,Manufacturing,31,852
5041,Manufacturing,31,1128
5043,Manufacturing,31,2249
5045,Manufacturing,31,6720
5047,Manufacturing,31,1048
5049,Manufacturing,31,313
5051,Health care & social assistance,62,6349
5053,Manufacturing,31,1348
5055,Manufacturing,31,5875
5057,Manufacturing,31,4321
5059,Manufacturing,31,1832
5061,Manufacturing,31,4886
5063,Manufacturing,31,5317
5065,Retail Trade,44,436
5067,Health care & social assistance,62,1105
5069,Manufacturing,31,7402
5071,Manufacturing,31,3289
5073,Manufacturing,31,403
5075,Manufacturing,31,1458
5077,Health care & social assistance,62,315
5079,Manufacturing,31,598
5081,Transportation & Warehousing,48,643
5083,Manufacturing,31,2096
5085,Retail Trade,44,1955
5087,Manufacturing,31,904
5089,Manufacturing,31,2003
5091,Manufacturing,31,2483
5093,Manufacturing,31,5350
5095,Accommodation & foodservices,72,391
5097,Manufacturing,31,260
5099,Health care & social assistance,62,388
5101,Retail Trade,44,143
5103,Manufacturing,31,1841
5105,Retail Trade,44,146
5107,Health care & social assistance,62,1456
5109,Manufacturing,31,591
5111,Manufacturing,31,1908
5113,Manufacturing,31,1420
5115,Manufacturing,31,4410
5117,Retail Trade,44,294
5119,Health care & social assistance,62,36810
5121,Manufacturing,31,1790
5123,Manufacturing,31,5912
5125,Retail Trade,44,3856
5127,Manufacturing,31,1433
5129,Retail Trade,44,209
5131,Manufacturing,31,23158
5133,Manufacturing,31,2399
5135,Retail Trade,44,680
5137,Manufacturing,31,769
5139,Manufacturing,31,6007
5141,Manufacturing,31,713
5143,Manufacturing,31,16538
5145,Manufacturing,31,5226
5147,Manufacturing,31,390
5149,Manufacturing,31,3000
5999,Administrative & support & waste management & remediation serv,56,6570
6001,Manufacturing,31,95807
6003,Accommodation & foodservices,72,790
6005,Retail Trade,44,1710
6007,Health care & social assistance,62,11186
6009,Retail Trade,44,1048
6011,Manufacturing,31,636
6013,Retail Trade,44,42933
6015,Health care & social assistance,62,951
6017,Accommodation & foodservices,72,7735
6019,Health care & social assistance,62,33357
6021,Manufacturing,31,811
6023,Retail Trade,44,7220
6025,Retail Trade,44,6484
6027,Accommodation & foodservices,72,1350
6029,Retail Trade,44,24264
6031,Retail Trade,44,3644
6033,Retail Trade,44,2079
6035,Retail Trade,44,1036
6037,Manufacturing,31,590921
6039,Manufacturing,31,5091
6041,Retail Trade,44,16385
6043,Accommodation & foodservices,72,1314
6045,Retail Trade,44,4790
6047,Manufacturing,31,8497
6049,Health care & social assistance,62,509
6051,Accommodation & foodservices,72,3651
6053,Retail Trade,44,17717
6055,Manufacturing,31,10622
6057,Accommodation & foodservices,72,4687
6059,Manufacturing,31,216725
6061,Retail Trade,44,17125
6063,Health care & social assistance,62,818
6065,Retail Trade,44,65367
6067,Retail Trade,44,59000
6069,Manufacturing,31,2636
6071,Manufacturing,31,69851
6073,Retail Trade,44,144791
6075,"Professional, scientific, & technical services",54,80688
6077,Manufacturing,31,24237
6079,Retail Trade,44,13213
6081,"Professional, scientific, & technical services",54,43039
6083,Retail Trade,44,20911
6085,Manufacturing,31,201577
6087,Retail Trade,44,13207
6089,Health care & social assistance,62,9847
6091,Health care & social assistance,62,98
6093,Retail Trade,44,1978
6095,Retail Trade,44,17904
6097,Manufacturing,31,29381
6099,Manufacturing,31,22640
6101,Retail Trade,44,3878
6103,Manufacturing,31,2166
6105,Retail Trade,44,340
6107,Retail Trade,44,13174
6109,Retail Trade,44,2473
6111,Manufacturing,31,35728
6113,Retail Trade,44,6596
6115,Health care & social assistance,62,1665
6999,Administrative & support & waste management & remediation serv,56,54306
8001,Construction,23,17281
8003,Retail Trade,44,1262
8005,Retail Trade,44,37273
8007,Retail Trade,44,541
8009,Retail Trade,44,136
8011,Retail Trade,44,99
8013,Manufacturing,31,25438
8015,Accommodation & foodservices,72,1046
8017,Health care & social assistance,62,100
8019,Accommodation & foodservices,72,575
8021,Health care & social assistance,62,228
8023,Health care & social assistance,62,59
8025,Retail Trade,44,99
8027,Retail Trade,44,137
8029,Retail Trade,44,1260
8031,Health care & social assistance,62,50217
8033,Retail Trade,44,50
8035,Retail Trade,44,10833
8037,Accommodation & foodservices,72,7429
8039,Construction,23,986
8041,Retail Trade,44,29384
8043,Retail Trade,44,1599
8045,Retail Trade,44,3271
8047,"Arts, entertainment, & recreation",71,3079
8049,"Arts, entertainment, & recreation",71,1786
8051,Accommodation & foodservices,72,2393
8053,Accommodation & foodservices,72,58
8055,Health care & social assistance,62,415
8057,Retail Trade,44,54
8059,Retail Trade,44,30686
8061,Retail Trade,44,55
8063,Retail Trade,44,429
8065,Accommodation & foodservices,72,258
8067,Accommodation & foodservices,72,3929
8069,Retail Trade,44,15956
8071,Retail Trade,44,732
8073,Retail Trade,44,344
8075,Retail Trade,44,1093
8077,Retail Trade,44,7602
8079,Construction,23,46
8081,Retail Trade,44,814
8083,Retail Trade,44,1609
8085,Retail Trade,44,2030
8087,Manufacturing,31,2979
8089,Health care & social assistance,62,1236
8091,Accommodation & foodservices,72,245
8093,Construction,23,321
8095,Health care & social assistance,62,288
8097,Accommodation & foodservices,72,4792
8099,Retail Trade,44,959
8101,Health care & social assistance,62,9894
8103,Mining,21,407
8105,Retail Trade,44,530
8107,Construction,23,6142
8109,Wholesale trade,42,185
8111,Mining,21,0
8111,Construction,23,0
8111,Manufacturing,31,0
8111,Retail Trade,44,0
8111,Real estate & rental & leasing,53,0
8111,"Professional, scientific, & technical services",54,0
8111,Administrative & support & waste management & remediation serv,56,0
8111,Health care & social assistance,62,0
8111,"Arts, entertainment, & recreation",71,0
8111,Accommodation & foodservices,72,0
8111,Other services (except public administration),81,0
8111,Unclassified,99,0
8113,Accommodation & foodservices,72,1355
8115,Health care & social assistance,62,131
