cty,industry,industry_naics_code,industry_employment
1001,"Agriculture, forestry, fishing, & hunting",11,0
1001,Mining,21,0
1001,Utilities,22,112
1001,Construction,23,803
1001,Manufacturing,31,1943
1001,Wholesale trade,42,95
1001,Retail Trade,44,2239
1001,Transportation & Warehousing,48,171
1001,Information,51,65
1001,Finance & insurance,52,230
1001,Real estate & rental & leasing,53,120
1001,"Professional, scientific, & technical services",54,248
1001,Management of companies & enterprises,55,0
1001,Administrative & support & waste management & remediation serv,56,121
1001,Educational services,61,74
1001,Health care & social assistance,62,714
1001,"Arts, entertainment, & recreation",71,161
1001,Accommodation & foodservices,72,1279
1001,Other services (except public administration),81,752
1001,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1001,Unclassified,99,4
1003,"Agriculture, forestry, fishing, & hunting",11,0
1003,Mining,21,64
1003,Utilities,22,263
1003,Construction,23,2953
1003,Manufacturing,31,5975
1003,Wholesale trade,42,1772
1003,Retail Trade,44,8620
1003,Transportation & Warehousing,48,825
1003,Information,51,782
1003,Finance & insurance,52,1138
1003,Real estate & rental & leasing,53,1378
1003,"Professional, scientific, & technical services",54,1545
1003,Management of companies & enterprises,55,164
1003,Administrative & support & waste management & remediation serv,56,2752
1003,Educational services,61,352
1003,Health care & social assistance,62,5408
1003,"Arts, entertainment, & recreation",71,1016
1003,Accommodation & foodservices,72,5966
1003,Other services (except public administration),81,2520
1003,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1003,Unclassified,99,0
1005,"Agriculture, forestry, fishing, & hunting",11,148
1005,Mining,21,0
1005,Utilities,22,0
1005,Construction,23,252
1005,Manufacturing,31,4854
1005,Wholesale trade,42,128
1005,Retail Trade,44,1206
1005,Transportation & Warehousing,48,1349
1005,Information,51,68
1005,Finance & insurance,52,300
1005,Real estate & rental & leasing,53,0
1005,"Professional, scientific, & technical services",54,128
1005,Management of companies & enterprises,55,0
1005,Administrative & support & waste management & remediation serv,56,86
1005,Educational services,61,82
1005,Health care & social assistance,62,796
1005,"Arts, entertainment, & recreation",71,0
1005,Accommodation & foodservices,72,606
1005,Other services (except public administration),81,230
1005,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1005,Unclassified,99,17
1007,"Agriculture, forestry, fishing, & hunting",11,239
1007,Mining,21,0
1007,Utilities,22,0
1007,Construction,23,563
1007,Manufacturing,31,710
1007,Wholesale trade,42,78
1007,Retail Trade,44,534
1007,Transportation & Warehousing,48,117
