cz,czname,pop2000,fips,stateabbrv,statename,Region,taxrate,tax_st_diff_top20,le_agg_q1,le_agg_q2,le_agg_q3,le_agg_q4,sd_le_agg_q1,sd_le_agg_q2,sd_le_agg_q3,sd_le_agg_q4,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,cs_educ_ba,tuition,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc
100,Johnson City,576081,47,TN,Tennessee,South,0.0203924,0,78.7182560520902,82.13664607125851,84.71971978944579,86.18637448029115,0.19820678065352276,0.24174547165811833,0.30946899259826716,0.43896000825562914,0.3512084,0.2322275,0.1658986,0.1309255,0.2924748,0.2673849,0.2612827,0.2488372,0.54650271,0.70752895,0.77546299,0.82993197,15.99971,10121.918,1.020608,0.1652021,0.1136509,0.1322168,-0.2259772,79.482693,86.810421,61.954966,81.387637,65.74568,92.747629,0.0348657,0.0301532,0.0382395,0.09038369999999998,0.33345,0.14045,0.13459,0.54796,-0.2978583,51.44033,2.0840820000000004,0.9285152999999999,0.0520797,0.1048183,0.2002331,0.5873474,0.2373972,1.1783710000000007,0.0056398318999999995,0.0046972561,146.2399,0.3252578,31559.77,113443.3433,5.1845472,18.115207,2.728379,15.86988,4816.82,38.3875,0.1898032,0.005402,1886.148
200,Morristown,227816,47,TN,Tennessee,South,0.0234471,0,78.26862540781595,82.03557681585792,83.52865168681822,86.2195550103017,0.29677884764565454,0.3651928393401248,0.4948596909548021,0.6725522564806627,0.4197531,0.2666667,0.1025641,0.16,0.3026316,0.25,0.3076923,0.2,0.50617284,0.73333335,0.82051283,0.83999997,19.50662,10228.286,0.8969633,0.1622799,0.110258,0.1336717,-0.1557111,82.496276,86.165115,62.141731,84.336291,61.324758,90.005867,0.0262809,0.0278582,0.0253348,0.09315300000000001,0.32828,0.1461972,0.10631,0.5375,-0.76735477,54.38951,1.977912,2.3488249999999997,0.0597924,0.3597302,0.5183235,0.6249742,0.2377556,2.305532,0.016206061,0.0142351722,130.7883,0.2764278,29958.93,122933.19,4.5058856,18.054193,-3.400274,11.720440000000002,4762.23,37.77675,0.185106,0.0071154,2004.337
301,Middlesborough,66708,47,TN,Tennessee,South,0.0153799,0,79.01083857303284,83.191251240881,84.4889240362197,86.63046514056649,0.5886496068171546,0.8165016922072652,1.2370227461223546,1.8772771916118876,0.3641026,0.2105263,0.10344830000000001,0.4,0.3208556,0.3555556,0.3928571,0.125,0.47530866,0.68292683,0.80000001,0.93333334,17.74554,12756.419,0.7123566,0.1853032,0.1009329,0.1193666,-2.703359,81.507197,81.567128,49.508424,77.835793,46.038986,199.63524,0.0240811,0.014683099999999994,0.0258143,0.0642501,0.33404,0.270661,0.10691,0.46685,-1.2702513,66.78059,1.4645919999999997,0.6161180000000002,0.0680831,0.013614500000000002,0.1534896,0.4789631,0.2335314,0.7078036999999999,0.008050009,0.0116028063,65.57113,0.3585358,22328.479999999996,82250.72537,5.614119,15.084937,-9.315062,9.077307,11840.4,39.04925,0.2110027,0.0038975999999999998,1189.82
302,Knoxville,727600,47,TN,Tennessee,South,0.0188704,0,77.82095736312759,81.69036823491402,84.43627085174137,86.93180828999726,0.19981977638679088,0.23384105608799888,0.2752525286639232,0.2881331806085706,0.3241252,0.2415679,0.1888489,0.117338,0.259366,0.2171429,0.2523364,0.1764706,0.58113205,0.74502367,0.81284404,0.86281586,14.88756,9913.4986,0.283885,0.1509697,0.1089805,0.1243237,0.5159547,84.625034,88.168352,65.371125,84.774699,67.078261,70.846737,0.0921036,0.08426740000000002,0.10196559999999999,0.2099943,0.35752,0.1300672,0.1508,0.5041,-0.22188462,60.1953,5.636476,1.1671250000000004,0.0398584,0.2026009,0.3105841,0.6148306,0.1455054,1.996747,0.0163029137,0.0135541506,225.9577,0.2685696,35884.29,126013.1016,4.8998462,16.685487,-6.031831,22.52661,3480.44,37.84125,0.2056023,0.0053876,2356.851
401,Winston-Salem,493180,37,NC,North Carolina,South,0.0179048,1,78.37927474881415,82.09097932264197,84.06132241574343,86.26885298915283,0.25372920986163644,0.27826695325652995,0.32028020800233153,0.4030590478927747,0.3234228,0.2703297,0.2069445,0.1479769,0.2856049,0.2562358,0.222063,0.1976048,0.6066066,0.74788624,0.81936419,0.87738097,19.02583,9635.7908,0.506144,0.1670631,0.1022146,0.1253956,0.4681638,81.2134,88.512514,70.065463,82.00701,65.852653,68.49709,0.0718667,0.0610806,0.0806255,0.262388,0.34636,0.1080807,0.11917,0.49991,-0.01779596,48.79375,17.3531,5.798897,0.0507583,0.2669811,0.3164812,0.656087,0.2151985,5.294819,0.022101464,0.0186199765,246.7514,0.2918141,38891.75,143681.8974,5.4626763,15.385281,-2.297035,22.38948,9715.33,36.96925,0.2204709,0.0105767,1891.45
402,Martinsville,92753,51,VA,Virginia,South,0.0151883,0,78.638277270347,83.66190429309688,84.36900614828211,84.3034454924533,0.4682189149248317,0.5547113634414713,0.7581402653193271,1.2862816181994692,0.3173653,0.2142857,0.15,0.2105263,0.2704403,0.3083333,0.2051282,0.3157895,0.58083832,0.69841272,0.92500001,0.86842108,20.51692,8085.0651,1.660041,0.1675077,0.1167683,0.1473949,-0.1046909,82.361461,85.946664,64.340751,76.993152,64.889147,74.796786,0.0237311,0.015375399999999994,0.0282695,0.1365256,0.33768,0.132409,0.1068,0.53839,-0.90281513,45.44327,22.38095,2.935754,0.0605013,-0.007458500000000007,-0.038827200000000006,0.599393,0.3945067,2.499212,0.006813795800000001,0.010069755200000002,105.828,0.3130243,31264.81,99081.31936,5.7398601,16.501911,4.227381,10.429290000000002,1113,37.29525,0.2408851,0.0079997,1557.879
500,Greensboro,1055133,37,NC,North Carolina,South,0.0172547,1,78.49311815297087,81.7316206704428,84.16773496594192,86.412584401351765,0.17763674102323462,0.2007365206683288,0.23502203180581394,0.29332277983231536,0.2941333,0.2480849,0.1945433,0.1480687,0.2923681,0.2681292,0.2574924,0.2166483,0.58686614,0.73752308,0.80136138,0.87045205,19.7013,8412.7218,0.7173082,0.1629981,0.1054583,0.1319751,0.6465141,82.404289,88.444956,69.845352,82.275367,68.605123,63.477595,0.0676532,0.0575889,0.076798,0.220065,0.3413,0.1117546,0.18228,0.51009,-0.51318038,43.3969,21.75593,4.060341,0.0567848,0.2601868,0.2950876,0.6659446,0.2613469,5.022334,0.0165078715,0.0153705741,238.5104,0.3049326,36581.84,136818.2934,5.0077963,16.678007,-3.715993,19.9377,4528.49,36.47725,0.2366055,0.0128423,1932.456
601,North Wilkesboro,90016,37,NC,North Carolina,South,0.0135954,1,80.07242994874511,82.57352680661361,84.59508185104319,85.46793334558042,0.4842086789591183,0.6352440957257954,0.8677983739310791,1.1645771297022836,0.2670565,0.2433735,0.164557,0.1079137,0.3002028,0.2925,0.2435897,0.2105263,0.58171207,0.68509614,0.8101266,0.83453238,22.05963,9252.8978,0.01953269999999996,0.1485884,0.0998839,0.126242,0.6132911,84.899579,89.746651,65.611199,85.726969,72.050149,89.782029,0.0118961,0.008601999999999992,0.012423499999999997,0.1140964,0.31958,0.1228724,0.12645,0.56018,-0.19309309,56.13891,3.1927660000000007,3.1683249999999994,0.0663624,0.1115557,0.1528378,0.617435,0.2753794,2.742685,0.0119756488,0.0118867757,76.07104,0.2893356,31544.06,119797.407,5.2960907,16.17797,6.698189,11.516710000000002,880,38.3445,0.1652012,0.0088278,1661.026
602,Galax,64676,51,VA,Virginia,South,0.0140347,0,79.7583709161005,82.43763683989536,85.53773594248031,87.23684662632569,0.5768603781036421,0.7172892358110243,0.9403033774163819,1.2894118729820914,0.3333333,0.3666667,0.3333333,0.24,0.3666667,0.3448276,0.6666667,0.2,0.5,0.73333335,0.44444445,0.80000001,21.84721,9194.9876,1.508458,0.1759501,0.1183324,0.1350081,0.5164022,84.354618,87.837574,69.937441,82.451969,68.155047,79.44675,0.005409700000000003,0.004165699999999994,0.005661300000000001,0.1311975,0.26915,0.1420254,0.08706,0.60842,-0.80119036,43.0175,2.895974,3.158822,0.0727314,0.0786524,0.1380425,0.5936862,0.3210837,2.285245,0.005535283600000001,0.0057981322,55.66614,0.325102,30683.01,95959.00743,5.3766793,12.326298,4.899554,9.6167840000000009,5168.58,40.813,0.1668024,0.0047622,1208.094
700,Spartanburg,354533,45,SC,South Carolina,South,0.0181788,0,77.76916417718492,81.54539841616185,83.67140933705885,86.25009409355518,0.26937895865721145,0.3252621215441569,0.40396895678015493,0.5065253627756424,0.316156,0.242623,0.1746032,0.1056,0.3071377,0.2586352,0.2337662,0.1937603,0.56412101,0.71134019,0.79470199,0.86622071,21.73069,9127.5718,0.688978,0.1631822,0.111126,0.1257871,0.24444109999999997,83.744332,85.040445,67.504115,80.690271,67.326621,74.032029,0.0451206,0.0441604,0.0451741,0.1394965,0.34069,0.1257592,0.13061,0.5285,-1.0008878,59.60855,20.74983,2.516832,0.0584848,0.2371214,0.2851822,0.6295308,0.294631,2.90639,0.0170280341,0.0155584953,181.2923,0.2989705,33416.75,116802.482,5.4214951,15.939934,-1.008695,16.93127,7264.36,36.406,0.246103,0.0102306,2498.805
