fipstate,fipscty,naics,emp,description
1,001,44,2239,Retail Trade
1,003,44,8620,Retail Trade
1,005,31,4854,Manufacturing
1,007,31,710,Manufacturing
1,009,31,2501,Manufacturing
1,011,62,312,Health care & social assistance
1,013,31,1165,Manufacturing
1,015,31,9911,Manufacturing
1,017,31,4653,Manufacturing
1,019,31,1028,Manufacturing
1,021,44,1723,Retail Trade
1,023,44,420,Retail Trade
1,025,31,1907,Manufacturing
1,027,31,2509,Manufacturing
1,029,31,1031,Manufacturing
1,031,31,3011,Manufacturing
1,033,31,4539,Manufacturing
1,035,48,1063,Transportation & Warehousing
1,037,31,803,Manufacturing
1,039,31,2765,Manufacturing
1,041,31,574,Manufacturing
1,043,31,5933,Manufacturing
1,045,48,1914,Transportation & Warehousing
1,047,31,5633,Manufacturing
1,049,31,12338,Manufacturing
1,051,31,2220,Manufacturing
1,053,31,2311,Manufacturing
1,055,31,6397,Manufacturing
1,057,31,2063,Manufacturing
1,059,31,4634,Manufacturing
1,061,62,835,Health care & social assistance
1,063,31,461,Manufacturing
1,065,31,1340,Manufacturing
1,067,31,1641,Manufacturing
1,069,62,7890,Health care & social assistance
1,071,31,6686,Manufacturing
1,073,62,50970,Health care & social assistance
1,075,31,1921,Manufacturing
1,077,31,6309,Manufacturing
1,079,31,1866,Manufacturing
1,081,31,6217,Manufacturing
1,083,31,6772,Manufacturing
1,085,31,1228,Manufacturing
1,087,62,2102,Health care & social assistance
1,089,31,23489,Manufacturing
1,091,31,2240,Manufacturing
1,093,31,4004,Manufacturing
1,095,31,12348,Manufacturing
1,097,62,21491,Health care & social assistance
1,099,31,2429,Manufacturing
1,101,44,15513,Retail Trade
1,103,31,13816,Manufacturing
1,105,31,542,Manufacturing
1,107,62,681,Health care & social assistance
1,109,31,1937,Manufacturing
1,111,31,2202,Manufacturing
1,113,31,2250,Manufacturing
1,115,31,3239,Manufacturing
1,117,44,7416,Retail Trade
1,119,44,454,Retail Trade
1,121,31,7052,Manufacturing
1,123,31,3818,Manufacturing
1,125,31,12158,Manufacturing
1,127,44,3745,Retail Trade
1,129,31,1683,Manufacturing
1,131,44,304,Retail Trade
1,133,31,4473,Manufacturing
1,999,56,10708,Administrative & support & waste management & remediation serv
2,013,44,55,Retail Trade
2,016,31,2462,Manufacturing
2,020,62,16359,Health care & social assistance
2,050,62,1529,Health care & social assistance
2,060,31,179,Manufacturing
2,068,44,24,Retail Trade
2,070,31,192,Manufacturing
2,090,62,4657,Health care & social assistance
2,100,44,109,Retail Trade
2,110,62,1885,Health care & social assistance
2,122,44,2250,Retail Trade
2,130,44,1166,Retail Trade
2,150,31,1475,Manufacturing
2,164,22,19,Utilities
2,170,44,2497,Retail Trade
2,180,62,551,Health care & social assistance
2,185,72,387,Accommodation & foodservices
2,188,44,331,Retail Trade
2,201,44,211,Retail Trade
2,220,62,848,Health care & social assistance
2,232,44,126,Retail Trade
2,240,44,129,Retail Trade
2,261,44,419,Retail Trade
2,270,44,308,Retail Trade
2,280,44,436,Retail Trade
2,282,44,27,Retail Trade
2,290,44,140,Retail Trade
2,290,81,140,Other services (except public administration)
2,999,21,1684,Mining
4,001,72,1654,Accommodation & foodservices
4,003,44,5228,Retail Trade
4,005,72,9628,Accommodation & foodservices
4,007,44,2129,Retail Trade
4,009,44,1309,Retail Trade
4,011,11,0,"Agriculture, forestry, fishing, & hunting"
4,011,21,0,Mining
4,011,22,0,Utilities
4,011,23,0,Construction
4,011,31,0,Manufacturing
4,011,42,0,Wholesale trade
4,011,44,0,Retail Trade
4,011,48,0,Transportation & Warehousing
4,011,51,0,Information
4,011,52,0,Finance & insurance
4,011,53,0,Real estate & rental & leasing
4,011,54,0,"Professional, scientific, & technical services"
4,011,55,0,Management of companies & enterprises
4,011,56,0,Administrative & support & waste management & remediation serv
4,011,61,0,Educational services
4,011,62,0,Health care & social assistance
4,011,71,0,"Arts, entertainment, & recreation"
4,011,72,0,Accommodation & foodservices
4,011,81,0,Other services (except public administration)
4,012,72,1081,Accommodation & foodservices
4,013,44,170471,Retail Trade
4,015,44,7929,Retail Trade
4,017,44,4210,Retail Trade
4,019,44,43012,Retail Trade
4,021,44,4862,Retail Trade
4,023,44,2451,Retail Trade
4,025,44,8126,Retail Trade
4,027,44,7076,Retail Trade
4,999,56,8635,Administrative & support & waste management & remediation serv
5,001,31,3448,Manufacturing
5,003,31,3435,Manufacturing
5,005,31,2907,Manufacturing
5,007,31,12975,Manufacturing
5,009,31,2588,Manufacturing
5,011,62,783,Health care & social assistance
5,013,31,304,Manufacturing
5,015,31,3607,Manufacturing
5,017,31,934,Manufacturing
5,019,31,3061,Manufacturing
5,021,31,2401,Manufacturing
5,023,31,1721,Manufacturing
5,025,11,156,"Agriculture, forestry, fishing, & hunting"
5,027,31,3102,Manufacturing
5,029,31,972,Manufacturing
5,031,31,8020,Manufacturing
5,033,31,4071,Manufacturing
5,035,48,3191,Transportation & Warehousing
5,037,31,1255,Manufacturing
5,039,31,852,Manufacturing
5,041,31,1128,Manufacturing
5,043,31,2249,Manufacturing
5,045,31,6720,Manufacturing
5,047,31,1048,Manufacturing
5,049,31,313,Manufacturing
5,051,62,6349,Health care & social assistance
5,053,31,1348,Manufacturing
5,055,31,5875,Manufacturing
5,057,31,4321,Manufacturing
5,059,31,1832,Manufacturing
5,061,31,4886,Manufacturing
5,063,31,5317,Manufacturing
5,065,44,436,Retail Trade
5,067,62,1105,Health care & social assistance
5,069,31,7402,Manufacturing
5,071,31,3289,Manufacturing
5,073,31,403,Manufacturing
5,075,31,1458,Manufacturing
5,077,62,315,Health care & social assistance
5,079,31,598,Manufacturing
5,081,48,643,Transportation & Warehousing
5,083,31,2096,Manufacturing
5,085,44,1955,Retail Trade
5,087,31,904,Manufacturing
5,089,31,2003,Manufacturing
5,091,31,2483,Manufacturing
5,093,31,5350,Manufacturing
5,095,72,391,Accommodation & foodservices
5,097,31,260,Manufacturing
5,099,62,388,Health care & social assistance
5,101,44,143,Retail Trade
5,103,31,1841,Manufacturing
5,105,44,146,Retail Trade
5,107,62,1456,Health care & social assistance
5,109,31,591,Manufacturing
5,111,31,1908,Manufacturing
5,113,31,1420,Manufacturing
5,115,31,4410,Manufacturing
5,117,44,294,Retail Trade
5,119,62,36810,Health care & social assistance
5,121,31,1790,Manufacturing
5,123,31,5912,Manufacturing
5,125,44,3856,Retail Trade
5,127,31,1433,Manufacturing
5,129,44,209,Retail Trade
5,131,31,23158,Manufacturing
5,133,31,2399,Manufacturing
5,135,44,680,Retail Trade
5,137,31,769,Manufacturing
5,139,31,6007,Manufacturing
5,141,31,713,Manufacturing
5,143,31,16538,Manufacturing
5,145,31,5226,Manufacturing
5,147,31,390,Manufacturing
5,149,31,3000,Manufacturing
5,999,56,6570,Administrative & support & waste management & remediation serv
6,001,31,95807,Manufacturing
6,003,72,790,Accommodation & foodservices
6,005,44,1710,Retail Trade
6,007,62,11186,Health care & social assistance
6,009,44,1048,Retail Trade
6,011,31,636,Manufacturing
6,013,44,42933,Retail Trade
6,015,62,951,Health care & social assistance
6,017,72,7735,Accommodation & foodservices
6,019,62,33357,Health care & social assistance
6,021,31,811,Manufacturing
6,023,44,7220,Retail Trade
6,025,44,6484,Retail Trade
6,027,72,1350,Accommodation & foodservices
6,029,44,24264,Retail Trade
6,031,44,3644,Retail Trade
6,033,44,2079,Retail Trade
6,035,44,1036,Retail Trade
6,037,31,590921,Manufacturing
6,039,31,5091,Manufacturing
6,041,44,16385,Retail Trade
6,043,72,1314,Accommodation & foodservices
6,045,44,4790,Retail Trade
6,047,31,8497,Manufacturing
6,049,62,509,Health care & social assistance
6,051,72,3651,Accommodation & foodservices
6,053,44,17717,Retail Trade
6,055,31,10622,Manufacturing
6,057,72,4687,Accommodation & foodservices
6,059,31,216725,Manufacturing
6,061,44,17125,Retail Trade
6,063,62,818,Health care & social assistance
6,065,44,65367,Retail Trade
6,067,44,59000,Retail Trade
6,069,31,2636,Manufacturing
6,071,31,69851,Manufacturing
6,073,44,144791,Retail Trade
6,075,54,80688,"Professional, scientific, & technical services"
6,077,31,24237,Manufacturing
6,079,44,13213,Retail Trade
6,081,54,43039,"Professional, scientific, & technical services"
6,083,44,20911,Retail Trade
6,085,31,201577,Manufacturing
6,087,44,13207,Retail Trade
6,089,62,9847,Health care & social assistance
6,091,62,98,Health care & social assistance
6,093,44,1978,Retail Trade
6,095,44,17904,Retail Trade
6,097,31,29381,Manufacturing
6,099,31,22640,Manufacturing
6,101,44,3878,Retail Trade
6,103,31,2166,Manufacturing
6,105,44,340,Retail Trade
6,107,44,13174,Retail Trade
6,109,44,2473,Retail Trade
6,111,31,35728,Manufacturing
6,113,44,6596,Retail Trade
6,115,62,1665,Health care & social assistance
6,999,56,54306,Administrative & support & waste management & remediation serv
8,001,23,17281,Construction
8,003,44,1262,Retail Trade
8,005,44,37273,Retail Trade
8,007,44,541,Retail Trade
8,009,44,136,Retail Trade
8,011,44,99,Retail Trade
8,013,31,25438,Manufacturing
8,015,72,1046,Accommodation & foodservices
8,017,62,100,Health care & social assistance
